Rodada,Jogo,Time da Casa,Time Visitante
12,2,Botafogo,Flamengo
12,3,Santos,RBBragantino
12,4,Coritiba,VascoDaGama
12,5,SaoPaulo,Gremio
12,6,Goias,Internacional
12,7,Cruzeiro,Fluminense
12,8,Corinthians,Fortaleza
12,9,Palmeiras,Bahia
12,10,AthleticoPR,Cuiaba
13,1,AtleticoMG,Flamengo
13,2,America,RBBragantino
13,3,Botafogo,VascoDaGama
13,4,Santos,Gremio
13,5,Coritiba,Internacional
13,6,SaoPaulo,Fluminense
13,7,Goias,Fortaleza
13,8,Cruzeiro,Bahia
13,9,Corinthians,Cuiaba
13,10,Palmeiras,AthleticoPR
14,1,AtleticoMG,RBBragantino
14,2,Flamengo,VascoDaGama
14,3,America,Gremio
14,4,Botafogo,Internacional
14,5,Santos,Fluminense
14,6,Coritiba,Fortaleza
14,7,SaoPaulo,Bahia
14,8,Goias,Cuiaba
14,9,Cruzeiro,AthleticoPR
14,10,Corinthians,Palmeiras
15,1,AtleticoMG,VascoDaGama
15,2,RBBragantino,Gremio
15,3,Flamengo,Internacional
15,4,America,Fluminense
15,5,Botafogo,Fortaleza
15,6,Santos,Bahia
15,7,Coritiba,Cuiaba
15,8,SaoPaulo,AthleticoPR
15,9,Goias,Palmeiras
15,10,Cruzeiro,Corinthians
16,1,AtleticoMG,Gremio
16,2,VascoDaGama,Internacional
16,3,RBBragantino,Fluminense
16,4,Flamengo,Fortaleza
16,5,America,Bahia
16,6,Botafogo,Cuiaba
16,7,Santos,AthleticoPR
16,8,Coritiba,Palmeiras
16,9,SaoPaulo,Corinthians
16,10,Goias,Cruzeiro
17,1,AtleticoMG,Internacional
17,2,Gremio,Fluminense
17,3,VascoDaGama,Fortaleza
17,4,RBBragantino,Bahia
17,5,Flamengo,Cuiaba
17,6,America,AthleticoPR
17,7,Botafogo,Palmeiras
17,8,Santos,Corinthians
17,9,Coritiba,Cruzeiro
17,10,SaoPaulo,Goias
18,1,AtleticoMG,Fluminense
18,2,Internacional,Fortaleza
18,3,Gremio,Bahia
18,4,VascoDaGama,Cuiaba
18,5,RBBragantino,AthleticoPR
18,6,Flamengo,Palmeiras
18,7,America,Corinthians
18,8,Botafogo,Cruzeiro
18,9,Santos,Goias
18,10,Coritiba,SaoPaulo
19,1,AtleticoMG,Fortaleza
19,2,Fluminense,Bahia
19,3,Internacional,Cuiaba
19,4,Gremio,AthleticoPR
19,5,VascoDaGama,Palmeiras
19,6,RBBragantino,Corinthians
19,7,Flamengo,Cruzeiro
19,8,America,Goias
19,9,Botafogo,SaoPaulo
19,10,Santos,Coritiba
20,1,Bahia,AtleticoMG
20,2,Cuiaba,Fortaleza
20,3,AthleticoPR,Fluminense
20,4,Palmeiras,Internacional
20,5,Corinthians,Gremio
20,6,Cruzeiro,VascoDaGama
20,7,Goias,RBBragantino
20,8,SaoPaulo,Flamengo
20,9,Coritiba,America
20,10,Santos,Botafogo
21,1,Cuiaba,AtleticoMG
21,2,AthleticoPR,Bahia
21,3,Palmeiras,Fortaleza
21,4,Corinthians,Fluminense
21,5,Cruzeiro,Internacional
21,6,Goias,Gremio
21,7,SaoPaulo,VascoDaGama
21,8,Coritiba,RBBragantino
21,9,Santos,Flamengo
21,10,Botafogo,America
22,1,AthleticoPR,AtleticoMG
22,2,Palmeiras,Cuiaba
22,3,Corinthians,Bahia
22,4,Cruzeiro,Fortaleza
22,5,Goias,Fluminense
22,6,SaoPaulo,Internacional
22,7,Coritiba,Gremio
22,8,Santos,VascoDaGama
22,9,Botafogo,RBBragantino
22,10,America,Flamengo
23,1,Palmeiras,AtleticoMG
23,2,Corinthians,AthleticoPR
23,3,Cruzeiro,Cuiaba
23,4,Goias,Bahia
23,5,SaoPaulo,Fortaleza
23,6,Coritiba,Fluminense
23,7,Santos,Internacional
23,8,Botafogo,Gremio
23,9,America,VascoDaGama
23,10,Flamengo,RBBragantino
24,1,Corinthians,AtleticoMG
24,2,Cruzeiro,Palmeiras
24,3,Goias,AthleticoPR
24,4,SaoPaulo,Cuiaba
24,5,Coritiba,Bahia
24,6,Santos,Fortaleza
24,7,Botafogo,Fluminense
24,8,America,Internacional
24,9,Flamengo,Gremio
24,10,RBBragantino,VascoDaGama
25,1,Cruzeiro,AtleticoMG
25,2,Goias,Corinthians
25,3,SaoPaulo,Palmeiras
25,4,Coritiba,AthleticoPR
25,5,Santos,Cuiaba
25,6,Botafogo,Bahia
25,7,America,Fortaleza
25,8,Flamengo,Fluminense
25,9,RBBragantino,Internacional
25,10,VascoDaGama,Gremio
26,1,Goias,AtleticoMG
26,2,SaoPaulo,Cruzeiro
26,3,Coritiba,Corinthians
26,4,Santos,Palmeiras
26,5,Botafogo,AthleticoPR
26,6,America,Cuiaba
26,7,Flamengo,Bahia
26,8,RBBragantino,Fortaleza
26,9,VascoDaGama,Fluminense
26,10,Gremio,Internacional
27,1,SaoPaulo,AtleticoMG
27,2,Coritiba,Goias
27,3,Santos,Cruzeiro
27,4,Botafogo,Corinthians
27,5,America,Palmeiras
27,6,Flamengo,AthleticoPR
27,7,RBBragantino,Cuiaba
27,8,VascoDaGama,Bahia
27,9,Gremio,Fortaleza
27,10,Internacional,Fluminense
28,1,Coritiba,AtleticoMG
28,2,Santos,SaoPaulo
28,3,Botafogo,Goias
28,4,America,Cruzeiro
28,5,Flamengo,Corinthians
28,6,RBBragantino,Palmeiras
28,7,VascoDaGama,AthleticoPR
28,8,Gremio,Cuiaba
28,9,Internacional,Bahia
28,10,Fluminense,Fortaleza
29,1,Santos,AtleticoMG
29,2,Botafogo,Coritiba
29,3,America,SaoPaulo
29,4,Flamengo,Goias
29,5,RBBragantino,Cruzeiro
29,6,VascoDaGama,Corinthians
29,7,Gremio,Palmeiras
29,8,Internacional,AthleticoPR
29,9,Fluminense,Cuiaba
29,10,Fortaleza,Bahia
30,1,Botafogo,AtleticoMG
30,2,America,Santos
30,3,Flamengo,Coritiba
30,4,RBBragantino,SaoPaulo
30,5,VascoDaGama,Goias
30,6,Gremio,Cruzeiro
30,7,Internacional,Corinthians
30,8,Fluminense,Palmeiras
30,9,Fortaleza,AthleticoPR
30,10,Bahia,Cuiaba
31,1,America,AtleticoMG
31,2,Flamengo,Botafogo
31,3,RBBragantino,Santos
31,4,VascoDaGama,Coritiba
31,5,Gremio,SaoPaulo
31,6,Internacional,Goias
31,7,Fluminense,Cruzeiro
31,8,Fortaleza,Corinthians
31,9,Bahia,Palmeiras
31,10,Cuiaba,AthleticoPR
32,1,Flamengo,AtleticoMG
32,2,RBBragantino,America
32,3,VascoDaGama,Botafogo
32,4,Gremio,Santos
32,5,Internacional,Coritiba
32,6,Fluminense,SaoPaulo
32,7,Fortaleza,Goias
32,8,Bahia,Cruzeiro
32,9,Cuiaba,Corinthians
32,10,AthleticoPR,Palmeiras
33,1,RBBragantino,AtleticoMG
33,2,VascoDaGama,Flamengo
33,3,Gremio,America
33,4,Internacional,Botafogo
33,5,Fluminense,Santos
33,6,Fortaleza,Coritiba
33,7,Bahia,SaoPaulo
33,8,Cuiaba,Goias
33,9,AthleticoPR,Cruzeiro
33,10,Palmeiras,Corinthians
34,1,VascoDaGama,AtleticoMG
34,2,Gremio,RBBragantino
34,3,Internacional,Flamengo
34,4,Fluminense,America
34,5,Fortaleza,Botafogo
34,6,Bahia,Santos
34,7,Cuiaba,Coritiba
34,8,AthleticoPR,SaoPaulo
34,9,Palmeiras,Goias
34,10,Corinthians,Cruzeiro
35,1,Gremio,AtleticoMG
35,2,Internacional,VascoDaGama
35,3,Fluminense,RBBragantino
35,4,Fortaleza,Flamengo
35,5,Bahia,America
35,6,Cuiaba,Botafogo
35,7,AthleticoPR,Santos
35,8,Palmeiras,Coritiba
35,9,Corinthians,SaoPaulo
35,10,Cruzeiro,Goias
36,1,Internacional,AtleticoMG
36,2,Fluminense,Gremio
36,3,Fortaleza,VascoDaGama
36,4,Bahia,RBBragantino
36,5,Cuiaba,Flamengo
36,6,AthleticoPR,America
36,7,Palmeiras,Botafogo
36,8,Corinthians,Santos
36,9,Cruzeiro,Coritiba
36,10,Goias,SaoPaulo
37,1,Fluminense,AtleticoMG
37,2,Fortaleza,Internacional
37,3,Bahia,Gremio
37,4,Cuiaba,VascoDaGama
37,5,AthleticoPR,RBBragantino
37,6,Palmeiras,Flamengo
37,7,Corinthians,America
37,8,Cruzeiro,Botafogo
37,9,Goias,Santos
37,10,SaoPaulo,Coritiba
38,1,Fortaleza,AtleticoMG
38,2,Bahia,Fluminense
38,3,Cuiaba,Internacional
38,4,AthleticoPR,Gremio
38,5,Palmeiras,VascoDaGama
38,6,Corinthians,RBBragantino
38,7,Cruzeiro,Flamengo
38,8,Goias,America
38,9,SaoPaulo,Botafogo
38,10,Coritiba,Santos
