Rodada,Jogo,Time da Casa,Time Visitante
19,4,Gremio,Santos
19,5,Corinthians,America
19,6,Flamengo,Internacional
19,7,Cuiaba,AtleticoMG
19,8,Bahia,Botafogo
19,9,SaoPaulo,RBBragantino
19,10,Palmeiras,VascoDaGama
20,1,AthleticoPR,Goias
20,2,Fluminense,Cruzeiro
20,3,Santos,Fortaleza
20,4,America,Coritiba
20,5,Internacional,Gremio
20,6,AtleticoMG,Corinthians
20,7,Botafogo,Flamengo
20,8,RBBragantino,Cuiaba
20,9,VascoDaGama,Bahia
20,10,Palmeiras,SaoPaulo
21,1,Fluminense,Goias
21,2,Santos,AthleticoPR
21,3,America,Cruzeiro
21,4,Internacional,Fortaleza
21,5,AtleticoMG,Coritiba
21,6,Botafogo,Gremio
21,7,RBBragantino,Corinthians
21,8,VascoDaGama,Flamengo
21,9,Palmeiras,Cuiaba
21,10,SaoPaulo,Bahia
22,1,Santos,Goias
22,2,America,Fluminense
22,3,Internacional,AthleticoPR
22,4,AtleticoMG,Cruzeiro
22,5,Botafogo,Fortaleza
22,6,RBBragantino,Coritiba
22,7,VascoDaGama,Gremio
22,8,Palmeiras,Corinthians
22,9,SaoPaulo,Flamengo
22,10,Bahia,Cuiaba
23,1,America,Goias
23,2,Internacional,Santos
23,3,AtleticoMG,Fluminense
23,4,Botafogo,AthleticoPR
23,5,RBBragantino,Cruzeiro
23,6,VascoDaGama,Fortaleza
23,7,Palmeiras,Coritiba
23,8,SaoPaulo,Gremio
23,9,Bahia,Corinthians
23,10,Cuiaba,Flamengo
24,1,Internacional,Goias
24,2,AtleticoMG,America
24,3,Botafogo,Santos
24,4,RBBragantino,Fluminense
24,5,VascoDaGama,AthleticoPR
24,6,Palmeiras,Cruzeiro
24,7,SaoPaulo,Fortaleza
24,8,Bahia,Coritiba
24,9,Cuiaba,Gremio
24,10,Flamengo,Corinthians
25,1,AtleticoMG,Goias
25,2,Botafogo,Internacional
25,3,RBBragantino,America
25,4,VascoDaGama,Santos
25,5,Palmeiras,Fluminense
25,6,SaoPaulo,AthleticoPR
25,7,Bahia,Cruzeiro
25,8,Cuiaba,Fortaleza
25,9,Flamengo,Coritiba
25,10,Corinthians,Gremio
26,1,Botafogo,Goias
26,2,RBBragantino,AtleticoMG
26,3,VascoDaGama,Internacional
26,4,Palmeiras,America
26,5,SaoPaulo,Santos
26,6,Bahia,Fluminense
26,7,Cuiaba,AthleticoPR
26,8,Flamengo,Cruzeiro
26,9,Corinthians,Fortaleza
26,10,Gremio,Coritiba
27,1,RBBragantino,Goias
27,2,VascoDaGama,Botafogo
27,3,Palmeiras,AtleticoMG
27,4,SaoPaulo,Internacional
27,5,Bahia,America
27,6,Cuiaba,Santos
27,7,Flamengo,Fluminense
27,8,Corinthians,AthleticoPR
27,9,Gremio,Cruzeiro
27,10,Coritiba,Fortaleza
28,1,VascoDaGama,Goias
28,2,Palmeiras,RBBragantino
28,3,SaoPaulo,Botafogo
28,4,Bahia,AtleticoMG
28,5,Cuiaba,Internacional
28,6,Flamengo,America
28,7,Corinthians,Santos
28,8,Gremio,Fluminense
28,9,Coritiba,AthleticoPR
28,10,Fortaleza,Cruzeiro
29,1,Palmeiras,Goias
29,2,SaoPaulo,VascoDaGama
29,3,Bahia,RBBragantino
29,4,Cuiaba,Botafogo
29,5,Flamengo,AtleticoMG
29,6,Corinthians,Internacional
29,7,Gremio,America
29,8,Coritiba,Santos
29,9,Fortaleza,Fluminense
29,10,Cruzeiro,AthleticoPR
30,1,SaoPaulo,Goias
30,2,Bahia,Palmeiras
30,3,Cuiaba,VascoDaGama
30,4,Flamengo,RBBragantino
30,5,Corinthians,Botafogo
30,6,Gremio,AtleticoMG
30,7,Coritiba,Internacional
30,8,Fortaleza,America
30,9,Cruzeiro,Santos
30,10,AthleticoPR,Fluminense
31,1,Bahia,Goias
31,2,Cuiaba,SaoPaulo
31,3,Flamengo,Palmeiras
31,4,Corinthians,VascoDaGama
31,5,Gremio,RBBragantino
31,6,Coritiba,Botafogo
31,7,Fortaleza,AtleticoMG
31,8,Cruzeiro,Internacional
31,9,AthleticoPR,America
31,10,Fluminense,Santos
32,1,Cuiaba,Goias
32,2,Flamengo,Bahia
32,3,Corinthians,SaoPaulo
32,4,Gremio,Palmeiras
32,5,Coritiba,VascoDaGama
32,6,Fortaleza,RBBragantino
32,7,Cruzeiro,Botafogo
32,8,AthleticoPR,AtleticoMG
32,9,Fluminense,Internacional
32,10,Santos,America
33,1,Flamengo,Goias
33,2,Corinthians,Cuiaba
33,3,Gremio,Bahia
33,4,Coritiba,SaoPaulo
33,5,Fortaleza,Palmeiras
33,6,Cruzeiro,VascoDaGama
33,7,AthleticoPR,RBBragantino
33,8,Fluminense,Botafogo
33,9,Santos,AtleticoMG
33,10,America,Internacional
34,1,Corinthians,Goias
34,2,Gremio,Flamengo
34,3,Coritiba,Cuiaba
34,4,Fortaleza,Bahia
34,5,Cruzeiro,SaoPaulo
34,6,AthleticoPR,Palmeiras
34,7,Fluminense,VascoDaGama
34,8,Santos,RBBragantino
34,9,America,Botafogo
34,10,Internacional,AtleticoMG
35,1,Gremio,Goias
35,2,Coritiba,Corinthians
35,3,Fortaleza,Flamengo
35,4,Cruzeiro,Cuiaba
35,5,AthleticoPR,Bahia
35,6,Fluminense,SaoPaulo
35,7,Santos,Palmeiras
35,8,America,VascoDaGama
35,9,Internacional,RBBragantino
35,10,AtleticoMG,Botafogo
36,1,Coritiba,Goias
36,2,Fortaleza,Gremio
36,3,Cruzeiro,Corinthians
36,4,AthleticoPR,Flamengo
36,5,Fluminense,Cuiaba
36,6,Santos,Bahia
36,7,America,SaoPaulo
36,8,Internacional,Palmeiras
36,9,AtleticoMG,VascoDaGama
36,10,Botafogo,RBBragantino
37,1,Fortaleza,Goias
37,2,Cruzeiro,Coritiba
37,3,AthleticoPR,Gremio
37,4,Fluminense,Corinthians
37,5,Santos,Flamengo
37,6,America,Cuiaba
37,7,Internacional,Bahia
37,8,AtleticoMG,SaoPaulo
37,9,Botafogo,Palmeiras
37,10,RBBragantino,VascoDaGama
38,1,Cruzeiro,Goias
38,2,AthleticoPR,Fortaleza
38,3,Fluminense,Coritiba
38,4,Santos,Gremio
38,5,America,Corinthians
38,6,Internacional,Flamengo
38,7,AtleticoMG,Cuiaba
38,8,Botafogo,Bahia
38,9,RBBragantino,SaoPaulo
38,10,VascoDaGama,Palmeiras
